TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ENGINE,VERSION,ROW_FORMAT,TABLE_ROWS,AVG_ROW_LENGTH,DATA_LENGTH,MAX_DATA_LENGTH,INDEX_LENGTH,DATA_FREE,AUTO_INCREMENT,CREATE_TIME,UPDATE_TIME,CHECK_TIME,TABLE_COLLATION,CHECKSUM,CREATE_OPTIONS,TABLE_COMMENT
def,mysql,columns_priv,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_bin,NULL,"row_format=DYNAMIC stats_persistent=0","Column privileges"
def,mysql,component,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,4194304,1,"2021-02-23 20:24:45",NULL,NULL,utf8_general_ci,NULL,row_format=DYNAMIC,Components
def,mysql,db,"BASE TABLE",InnoDB,10,Dynamic,3,5461,16384,0,16384,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_bin,NULL,"row_format=DYNAMIC stats_persistent=0","Database privileges"
def,mysql,default_roles,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_bin,NULL,"row_format=DYNAMIC stats_persistent=0","Default roles"
def,mysql,engine_cost,"BASE TABLE",InnoDB,10,Dynamic,2,8192,16384,0,0,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_general_ci,NULL,"row_format=DYNAMIC stats_persistent=0",
def,mysql,func,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_bin,NULL,"row_format=DYNAMIC stats_persistent=0","User defined functions"
def,mysql,general_log,"BASE TABLE",CSV,10,Dynamic,2,0,0,0,0,0,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_general_ci,NULL,,"General log"
def,mysql,general_log_template,"BASE TABLE",CSV,10,Dynamic,2,0,0,0,0,0,NULL,"2021-11-27 00:13:33",NULL,NULL,utf8_general_ci,NULL,,"General log"
def,mysql,global_grants,"BASE TABLE",InnoDB,10,Dynamic,41,399,16384,0,0,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_bin,NULL,"row_format=DYNAMIC stats_persistent=0","Extended global grants"
def,mysql,gtid_executed,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8mb4_0900_ai_ci,NULL,row_format=DYNAMIC,
def,mysql,help_category,"BASE TABLE",InnoDB,10,Dynamic,51,321,16384,0,16384,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_general_ci,NULL,"row_format=DYNAMIC stats_persistent=0","help categories"
def,mysql,help_keyword,"BASE TABLE",InnoDB,10,Dynamic,821,139,114688,0,131072,4194304,NULL,"2021-02-23 20:24:45",NULL,NULL,utf8_general_ci,NULL,"row_format=DYNAMIC stats_persistent=0","help keywords"
